UFI;UNI;LAT;LONG;DMS_LAT;DMS_LONG;DSG;ADM1;ADM2;NT;SORT_NAME;FULL_NAME
-908532;-1344091; -32.7;-539.666.667;-324200;-535800;PPL;3;;N;RINCONDECORONEL;Rincón de Coronel
-908533;-1344092;-333.833.333;-564.166.667;-332300;-562500;PPL;5;;N;RINCONDECUADRA;Rincón de Cuadra
-908314;-1344093;-318.333.333;-557.666.667;-315000;-554600;PPL;18;;V;RINCONDEGILOCA;Rincón de Giloca
-908534;-1344094; -33.2; -54.75;-331200;-544500;PPL;19;;N;RINCONDEGUTIERREZ;Rincón de Gutiérrez
-908535;-1344095; -31.75;-560.666.667;-314500;-560400;PPL;18;;N;RINCONDELAALDEA;Rincón de la Aldea
-908315;-1344096;-318.166.667;-559.166.667;-314900;-555500;PPL;18;;V;RINCONDELABOLSA;Rincón de la Bolsa
-908316;-1344097; -32.0;-554.833.333;-320000;-552900;PPL;11;;V;RINCONDELALAGUNA;Rincón de la Laguna
-908536;-1344099; -32.8;-564.166.667;-324800;-562500;PPL;5;;N;RINCONDELBONETE;Rincón del Bonete
-908538;-1344101;-330.833.333;-574.333.333;-330500;-572600;PPL;17;;N;RINCONDELCOLOLO;Rincón del Cololó
-908317;-1344102;-322.166.667;-560.166.667;-321300;-560100;PPL;18;;V;RINCONDELOSMACHADO;Rincón de los Machado
-908539;-1344103;-327.166.667;-574.666.667;-324300;-572800;PPL;12;;N;RINCONDELOSNEGROS;Rincón de los Negros
-908540;-1344104;-343.666.667;-538.333.333;-342200;-535000;PPL;14;;N;RINCONDELOSOLIVERAS;Rincón de los Oliveras
-908541;-1344105;-344.833.333; -56.85;-342900;-565100;PPL;16;;N;RINCONDELPINO;Rincón del Pino
-908543;-1344107; -31.3;-558.666.667;-311800;-555200;PPL;13;;N;RINCONDEMORAES;Rincón de Moraes
-908544;-1344108;-306.333.333;-561.666.667;-303800;-561000;PPL;1;;N;RINCONDEPACHECO;Rincón de Pacheco
-908287;-1344109; -32.4; -55.35;-322400;-552100;PPL;18;;V;RINCONDEPEREYRA;Rincón de Pereyra
-908545;-1344110; -32.5;-544.166.667;-323000;-542500;PPL;3;;N;RINCONDEPY;Rincón de Py
-908546;-1344111; -31.2;-572.333.333;-311200;-571400;PPL;15;;N;RINCONDEVALENTINES;Rincón de Valentines
-908547;-1344112; -34.4;-563.333.333;-342400;-562000;PPL;2;;N;RINCONDEVELAZQUEZ;Rincón de Velázquez
-908548;-1344113;-343.833.333;-563.833.333;-342300;-562300;PPL;2;;N;RINCONDEVIDAL;Rincón de Vidal
-908549;-1344114;-318.166.667;-551.833.333;-314900;-551100;PPL;18;;N;RINCONDEYAGUARI;Rincón de Yaguarí
-908550;-1344115;-325.666.667;-534.166.667;-323400;-532500;PPL;3;;N;RIOBRANCO;Río Branco
-909228;-1344119; -32.1;-548.666.667;-320600;-545200;PPL;18;;V;RIONEGRO;Río Negro
-908556;-1344128;-335.833.333;-575.833.333;-333500;-573500;PPL;17;;N;RISSO;Risso
-908560;-1344138; -30.9;-555.166.667;-305400;-553100;PPL;13;;N;RIVERA;Rivera
-908318;-1344141;-320.333.333;-556.666.667;-320200;-554000;PPL;18;;V;RIVERACHICO;Rivera Chico
-908564;-1344145;-344.833.333;-543.333.333;-342900;-542000;PPL;14;;N;ROCHA;Rocha
-907104;-1344177;-336.833.333;-575.666.667;-334100;-573400;PPL;17;;V;RODO;Rodo
-908579;-1344178;-343.827.778;-565.416.667;-342258;-563230;PPL;16;;N;RODRIGUEZ;Rodríguez
-908583;-1344184;-332.166.667;-566.833.333;-331300;-564100;PPL;5;;N;ROJA;Roja
-908319;-1344185;-323.333.333;-559.666.667;-322000;-555800;PPL;18;;V;ROLON;Rolón
-908584;-1344186;-326.833.333;-568.833.333;-324100;-565300;PPL;12;;N;ROLON;Rolón
-908585;-1344187;-331.166.667;-559.833.333;-330700;-555900;PPL;5;;N;ROLON;Rolón
-908594;-1344203;-343.166.667; -57.35;-341900;-572100;PPL;4;;N;ROSARIO;Rosario
-908269;-1344225; -32.75;-537.333.333;-324500;-534400;PPL;3;;V;ROSAS;Rosas
-906349;-1344227;-331.833.333; -55.7;-331100;-554200;PPL;5;;V;ROSSELLYRIUS;Rossell y Rius
-908609;-1344240;-318.666.667;-572.833.333;-315200;-571700;PPL;11;;N;SACACHISPAS;Saca Chispas
-908610;-1344241;-331.666.667;-575.833.333;-331000;-573500;PPL;17;;N;SACACHISPAS;Saca Chispas
-906319;-1344244;-344.666.667; -57.85;-342800;-575100;PPL;4;;V;SACRAMENTO;Sacramento
-908615;-1344252;-341.666.667;-546.666.667;-341000;-544000;PPL;9;;N;SALAMANCA;Salamanca
-908627;-1344269;-313.833.333;-579.666.667;-312300;-575800;PPL;15;;V;SALTA;Salta
-908627;-1344274;-313.833.333;-579.666.667;-312300;-575800;PPL;15;;N;SALTO;Salto
-908636;-1344297;-313.333.333;-578.333.333;-312000;-575000;PPL;15;;N;SANANTONIO;San Antonio
-908637;-1344298;-344.497.222;-560.791.667;-342659;-560445;PPL;2;;N;SANANTONIO;San Antonio
-908644;-1344311;-344.333.333;-559.833.333;-342600;-555900;PPL;2;;N;SANBAUTISTA;San Bautista
-908320;-1344312;-324.666.667;-561.666.667;-322800;-561000;PPL;18;;V;SANBENITO;San Benito
-908646;-1344315; -34.8;-549.166.667;-344800;-545500;PPL;9;;N;SANCARLOS;San Carlos
-908650;-1344321;-329.166.667;-577.333.333;-325500;-574400;PPL;12;;N;SANCHEZ;Sánchez
-908650;-1344326;-329.166.667;-577.333.333;-325500;-574400;PPL;12;;V;SANCHEZCHICO;Sanchez Chico
-908650;-1344330;-329.166.667;-577.333.333;-325500;-574400;PPL;12;;V;SANCHEZGRANDE;Sanchez Grande
-908654;-1344329;-328.333.333;-577.166.667;-325000;-574300;PPL;12;;N;SANCHEZGRANDE;Sánchez Grande
-908656;-1344333; -33.1;-577.333.333;-330600;-574400;PPL;17;;N;SANDIOS;San Dios
-908657;-1344334;-338.666.667;-575.166.667;-335200;-573100;PPL;17;;N;SANDIOS;San Dios
-905570;-1344335; -30.4;-564.666.667;-302400;-562800;PPL;1;;V;SANEUGENIO;San Eugenio
-908658;-1344336;-323.333.333;-581.333.333;-322000;-580800;PPL;11;;N;SANFELIX;San Félix
-907443;-1344337; -34.9; -54.95;-345400;-545700;PPL;9;;V;SANFERNANDODEMALDONADO;San Fernando de Maldonado
-909309;-1344353;-317.333.333;-559.833.333;-314400;-555900;PPL;18;;V;SANFRUCTUOSO;San Fructuoso
-908668;-1344354; -34.05;-558.833.333;-340300;-555300;PPL;7;;N;SANGABRIEL;San Gabriel
-908675;-1344366; -30.55;-578.666.667;-303300;-575200;PPL;1;;N;SANGREGORIO;San Gregorio
-908676;-1344368; -33.95; -56.75;-335700;-564500;PPL;16;;N;SANGREGORIO;San Gregorio
-908686;-1344367;-326.166.667;-558.333.333;-323700;-555000;PPL;5;;V;SANGREGORIO;San Gregorio
-908686;-1344387;-326.166.667;-558.333.333;-323700;-555000;PPL;5;;N;SANGREGORIODEPOLANCO;San Gregorio de Polanco
-907280;-1344390;-347.263.889; -56.22;-344335;-561312;PPL;2;;V;SANISIDRIO;San Isidrio
-908688;-1344391; -34.55;-558.833.333;-343300;-555300;PPL;2;;N;SANJACINTO;San Jacinto
-908689;-1344392;-326.833.333;-581.333.333;-324100;-580800;PPL;12;;N;SANJAVIER;San Javier
-908690;-1344396;-328.666.667;-559.166.667;-325200;-555500;PPL;5;;N;SANJORGE;San Jorge
-908703;-1344398;-343.375;-567.136.111;-342015;-564249;PPL;16;;V;SANJOSE;San José
-908702;-1344418;-328.333.333;-554.833.333;-325000;-552900;PPL;5;;V;SANJOSEDECANAS;San José de Cañas
-908702;-1344420;-328.333.333;-554.833.333;-325000;-552900;PPL;5;;N;SANJOSEDELASCANAS;San José de las Cañas
-908703;-1344422;-343.375;-567.136.111;-342015;-564249;PPL;16;;N;SANJOSEDEMAYO;San José de Mayo
-908705;-1344425;-339.333.333;-574.666.667;-335600;-572800;PPL;4;;N;SANJUAN;San Juan
-908771;-1344441;-344.533.333;-563.905.556;-342712;-562326;PPL;2;;V;SANJUANBAUTISTA;San Juan Bautista
-908715;-1344442;-309.166.667; -56.3;-305500;-561800;PPL;15;;N;SANLUIS;San Luis
-908716;-1344443;-315.666.667; -54.55;-313400;-543300;PPL;13;;N;SANLUIS;San Luis
-908725;-1344444;-336.166.667;-537.166.667;-333700;-534300;PPL;14;;V;SANLUIS;San Luis
-908725;-1344463;-336.166.667;-537.166.667;-333700;-534300;PPL;14;;N;SANLUISALMEDIO;San Luis Al Medio
-908726;-1344465; -33.75;-576.166.667;-334500;-573700;PPL;17;;N;SANMARTIN;San Martín
-906529;-1344471; -32.15;-561.166.667;-320900;-560700;PPL;18;;V;SANMAXIMO;San Máximo
-908738;-1344496; -34.35; -57.85;-342100;-575100;PPL;4;;N;SANPEDRO;San Pedro
-908321;-1344513;-319.666.667; -55.05;-315800;-550300;PPL;18;;V;SANRAMON;San Ramón
-908746;-1344514; -34.3;-559.666.667;-341800;-555800;PPL;2;;N;SANRAMON;San Ramón
-908753;-1344528;-326.333.333; -53.3;-323800;-531800;PPL;3;;N;SANSERVANDO;San Servando
-908761;-1344545;-333.666.667;-564.833.333;-332200;-562900;PPL;5;;N;SANTABERNARDINA;Santa Bernardina
