UFI;UNI;LAT;LONG;DMS_LAT;DMS_LONG;DSG;ADM1;ADM2;NT;SORT_NAME;FULL_NAME
-909603;-1346417; -34.4;-565.333.333;-342400;-563200;PPL;16;;N;TROPEZON;Tropezón
-906648;-1346418; -31.4;-577.833.333;-312400;-574700;PPL;15;;V;TROPIEZO;Tropiezo
-909618;-1346455;-328.333.333;-547.666.667;-325000;-544600;PPL;19;;N;TUPAMBAE;Tupambaé
-908288;-1346468;-321.833.333;-552.833.333;-321100;-551700;PPL;18;;V;TURUPI;Turupí
-909635;-1346483;-348.705.556;-561.336.111;-345214;-560801;PPLX ;10;;N;UNION;Unión
-909637;-1346488;-324.833.333;-535.166.667;-322900;-533100;PPL;3;;N;URUGUAY;Uruguay
-909647;-1346512;-343.333.333;-572.333.333;-342000;-571400;PPL;4;;N;VALDENSE;Valdense
-909654;-1346526; -31.3; -57.2;-311800;-571200;PPL;15;;N;VALENTIN;Valentín
-909661;-1346542;-332.666.667; -55.1;-331600;-550600;PPL;19;;N;VALENTINES;Valentines
-909662;-1346543;-332.666.667;-551.166.667;-331600;-550700;PPL;19;;N;VALENTINES;Valentines
-909654;-1346549; -31.3; -57.2;-311800;-571200;PPL;15;;V;VALENTINGRANDE;Valentín Grande
-908326;-1346575; -31.3; -57.15;-311800;-570900;PPL;15;;V;VARESE;Varese
-907402;-1346584;-318.833.333;-554.333.333;-315300;-552600;PPL;18;;V;VAZQUEZ;Vázquez
-909682;-1346589;-344.116.667;-564.022.222;-342442;-562408;PPL;7;;N;VEINTICINCODEAGOSTO;Veinticinco de Agosto
-909684;-1346592;-341.891.667;-563.394.444;-341121;-562022;PPL;7;;N;VEINTICINCODEMAYO;Veinticinco de Mayo
-909689;-1346598;-342.833.333;-552.333.333;-341700;-551400;PPL;8;;N;VEJIGAS;Vejigas
-909692;-1346604;-340.333.333;-542.833.333;-340200;-541700;PPL;14;;V;VELASQUEZ;Velasquez
-909692;-1346607;-340.333.333;-542.833.333;-340200;-541700;PPL;14;;N;VELAZQUEZ;Velázquez
-906170;-1346629;-331.833.333;-574.666.667;-331100;-572800;PPL;17;;V;VERA;Vera
-909706;-1346628;-316.166.667;-568.166.667;-313700;-564900;PPL;15;;V;VERA;Vera
-909706;-1346642;-316.166.667;-568.166.667;-313700;-564900;PPL;15;;N;VERAS;Veras
-909717;-1346659;-326.666.667; -55.45;-324000;-552700;PPL;5;;N;VERDUN;Verdún
-909722;-1346667;-329.333.333; -53.95;-325600;-535700;PPL;19;;N;VERGARA;Vergara
-909725;-1346673; -31.8;-547.166.667;-314800;-544300;PPL;13;;N;VICHADERO;Vichadero
-909725;-1346692; -31.8;-547.166.667;-314800;-544300;PPL;13;;V;VICHEADERO;Vicheadero
-909736;-1346698;-348.833.333;-562.333.333;-345300;-561400;PPL;10;;N;VICTORIA;Victoria
-908303;-1346715;-313.666.667;-550.833.333;-312200;-550500;PPL;13;;V;VILA;Vila
-909745;-1346719;-337.666.667; -58.35;-334600;-582100;PPL;17;;N;VILLAALEJANDRINA;Villa Alejandrina
-909745;-1346720;-337.666.667; -58.35;-334600;-582100;PPL;17;;V;VILLAALESANDRINA;Villa Alesandrina
-906804;-1346721;-325.666.667;-573.666.667;-323400;-572200;PPL;12;;V;VILLABORGES;Villa Borges
-906302;-1346722; -34.8;-562.333.333;-344800;-561400;PPL;10;;V;VILLACOLON;Villa Colón
-905917;-1346723;-345.227.778;-562.777.778;-343122;-561640;PPL;2;;V;VILLADECANELONES;Villa de Canelones
-906765;-1346724;-331.325;-582.955.556;-330757;-581744;PPL;12;;V;VILLADEFRAYBENTOS;Villa de Fray Bentos
-907238;-1346725; -34.35; -57.3;-342100;-571800;PPL;4;;V;VILLADELAPAZ;Villa de la Paz
-909595;-1346726;-335.333.333; -56.9;-333200;-565400;PPL;6;;V;VILLADELASANTISIMATRINIDAD;Villa de la Santísima Trinidad
-907280;-1346727;-347.263.889; -56.22;-344335;-561312;PPL;2;;V;VILLADELASPIEDRAS;Villa de las Piedras
-909595;-1346728;-335.333.333; -56.9;-333200;-565400;PPL;6;;V;VILLADELATRINIDAD;Villa de la Trinidad
-909746;-1346729; -33.25;-560.166.667;-331500;-560100;PPL;5;;N;VILLADELCARMEN;Villa del Carmen
-909747;-1346730;-34.875;-562.588.889;-345230;-561532;PPL;10;;N;VILLADELCERRO;Villa del Cerro
-908594;-1346731;-343.166.667; -57.35;-341900;-572100;PPL;4;;V;VILLADELROSARIO;Villa del Rosario
-907985;-1346732;-347.166.667; -55.95;-344300;-555700;PPL;2;;V;VILLADEPANDO;Villa de Pando
-909595;-1346733;-335.333.333; -56.9;-333200;-565400;PPL;6;;V;VILLADEPORONGOS;Villa de Porongos
-908560;-1346734; -30.9;-555.166.667;-305400;-553100;PPL;13;;V;VILLADERIVERA;Villa de Rivera
-908646;-1346735; -34.8;-549.166.667;-344800;-545500;PPL;9;;V;VILLADESANCARLOS;Villa de San Carlos
-909309;-1346736;-317.333.333;-559.833.333;-314400;-555900;PPL;18;;V;VILLADESANFRUCTUOSO;Villa de San Fructuoso
-909288;-1346737; -33.4;-583.166.667;-332400;-581900;PPL;17;;V;VILLADESORIANO;Villa de Soriano
-909309;-1346738;-317.333.333;-559.833.333;-314400;-555900;PPL;18;;V;VILLADETACUAREMBO;Villa de Tacuarembo
-909562;-1346739;-332.333.333;-543.833.333;-331400;-542300;PPL;19;;V;VILLADETREINTAYTRES;Villa de Treinta y Tres
-909595;-1346740;-335.333.333; -56.9;-333200;-565400;PPL;6;;V;VILLADETRINIDAD;Villa de Trinidad
-909748;-1346741; -34.9; -56.15;-345400;-560900;PPLX ;10;;N;VILLADOLORES;Villa Dolores
9045461;9045461;-348.030.556;-560.858.333;-344811;-560509;PPL;10;;N;VILLADONBOSCO;Villa Don Bosco
-909749;-1346742;-323.333.333; -57.05;-322000;-570300;PPL;12;;N;VILLAELISA;Villa Elisa
-909750;-1346743;-348.833.333; -56.15;-345300;-560900;PPLX ;10;;N;VILLAESPANOLA;Villa Española
-906765;-1346745;-331.325;-582.955.556;-330757;-581744;PPL;12;;V;VILLAFRAYBENTOS;Villa Fray Bentos
9045454;9045454;-347.811.111;-560.533.333;-344652;-560312;PPL;10;;N;VILLAGARCIA;Villa García
-906804;-1346746;-325.666.667;-573.666.667;-323400;-572200;PPL;12;;V;VILLAGENERALBORGES;Villa General Borges
-906765;-1346747;-331.325;-582.955.556;-330757;-581744;PPL;12;;V;VILLAINDEPENDENCIA;Villa Independencia
-909460;-1346748; -32.35; -56.55;-322100;-563300;PPL;11;;V;VILLAMARIA;Villa Maria
-907524;-1346749; -33.4;-546.833.333;-332400;-544100;PPL;19;;V;VILLAMARIAALBINA;Villa María Albina
-907050;-1346750;-329.833.333;-545.833.333;-325900;-543500;PPL;19;;V;VILLAMARIAISABELISLADEPATRULLA;Villa Maria Isabel Isla de Patrulla
-909751;-1346751;-348.833.333;-561.833.333;-345300;-561100;PPLX ;10;;N;VILLAMUNOZ;Villa Muñoz
-909752;-1346752; -34.6;-561.333.333;-343600;-560800;PPL;2;;N;VILLANUEVA;Villa Nueva
-909753;-1346753;-332.833.333;-539.333.333;-331700;-535600;PPL;19;;N;VILLAPASSANO;Villa Passano
-909754;-1346754;-332.666.667;-544.166.667;-331600;-542500;PPL;19;;N;VILLASARA;Villa Sara
-908948;-1346755;-337.333.333;-563.333.333;-334400;-562000;PPL;7;;V;VILLASARANDI;Villa Sarandí
-909759;-1346765;-342.833.333;-549.833.333;-341700;-545900;PPL;8;;N;VILLASERRANA;Villa Serrana
-909760;-1346766;-340.666.667;-563.833.333;-340400;-562300;PPL;7;;N;VILLAVIEJA;Villa Vieja
-909761;-1346767; -32.2;-540.666.667;-321200;-540400;PPL;3;;N;VILLAVINOLES;Villa Viñoles
-909761;-1346771; -32.2;-540.666.667;-321200;-540400;PPL;3;;V;VINOLLES;Viñolles
-909778;-1346801;-341.833.333;-537.833.333;-341100;-534700;PPL;14;;N;VUELTADELPALMAR;Vuelta del Palmar
-909779;-1346802;-325.166.667;-545.833.333;-323100;-543500;PPL;10;;N;WENCESLAOSILVEIRA;Wenceslao Silveira
-909789;-1346824; -30.25; -56.85;-301500;-565100;PPL;1;;N;YACOT;Yacot
-907252;-1346829;-315.166.667;-549.666.667;-313100;-545800;PPL;13;;V;YAGUAN;Yaguan
-907252;-1346835;-315.166.667;-549.666.667;-313100;-545800;PPL;13;;V;YAGUARI;Yaguarí
-909821;-1346893;-326.833.333;-576.333.333;-324100;-573800;PPL;12;;N;YOUNG;Young
-908327;-1346908;-320.333.333;-557.833.333;-320200;-554700;PPL;18;;V;ZAMBULLON;Zambullón
-909831;-1346911;-312.166.667;-556.666.667;-311300;-554000;PPL;13;;N;ZANJAHONDA;Zanja Honda
-909832;-1346912;-318.166.667;-546.666.667;-314900;-544000;PPL;13;;N;ZANJAHONDA;Zanja Honda
-909833;-1346913;-338.166.667; -57.55;-334900;-573300;PPL;17;;N;ZANJAHONDA;Zanja Honda
-909845;-1346940;-316.833.333;-561.333.333;-314100;-560800;PPL;18;;N;ZAPARA;Zapará
-909849;-1346948;-335.166.667;-549.166.667;-333100;-545500;PPL;8;;N;ZAPICAN;Zapicán
-908328;-1346952;-317.166.667;-553.333.333;-314300;-552000;PPL;13;;V;ZAPUCAY;Zapucay
-909852;-1346953; -31.8;-553.333.333;-314800;-552000;PPL;18;;N;ZAPUCAY;Zapucay
-906566;-1346974;-336.833.333; -53.55;-334100;-533300;PPL;14;;V;biDEJULIO;18 de Julio
-906565;-1346976;-343.666.667;-540.666.667;-342200;-540400;PPL;14;;V;bjDEABRIL;19 de Abril
-909682;-1346977;-344.116.667;-564.022.222;-342442;-562408;PPL;7;;V;cfDEAGOSTO;25 de Agosto
-909684;-1346979;-341.891.667;-563.394.444;-341121;-562022;PPL;7;;V;cfDEMAYO;25 de Mayo
